General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
242,11177,ثانوية التربية النموذجية الأهلية,الرياض,Riyadh,Domestic,مقررات,69.86
249,11187,ثانوية المستقبل النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,69.77
251,30059,صفوة الطليعة الاهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,69.75
265,10002,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية نظام المقررات (بنين),الأحساء,AlSharquia,Domestic,مقررات,69.47
266,11218,ثانوية الفلاح الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,69.45
282,61540,ثانوية الأندلس الأهلية بالخميس,خميس مشيط,Asser,Domestic,تعليم عام بنين,69.2
299,12270,ثانوية السعودية الأهلية - نظام المقررات,الرياض,Riyadh,Domestic,مقررات,68.9
320,32876,دار التربية الحديثة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,68.66
335,11188,ثانوية التربية السعودية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,68.39
337,11209,ثانوية الأمجاد الأهلية ـ نظام المقررات,الرياض,Riyadh,Domestic,مقررات,68.36
349,11194,ثانوية المجد الأهلية - العريجاء,الرياض,Riyadh,Domestic,تعليم عام بنين,68.16
376,54306,ثانوية النخبة العلمية الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,67.8
382,32875,المجد الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,67.61
392,11238,ثانوية النبلاء الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,67.47
400,54114,ثانوية الهداية الأهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,67.34
401,29770,تربية الأبناء الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,67.29
410,32995,النظامية الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,67.11
413,26502,ثانوية البشرى بالعوالي الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,67.07
419,54297,ثانوية شمس الجزيرة الاهلية,الدمام,AlSharquia,Domestic,تعليم عام بنين,67
422,32977,دار الثقافة الثانوية الأهلية,جدة,Makkah,Domestic,تعليم عام بنين,66.96
428,16340,ثانوية الجامعة الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,66.86
438,61537,ثانوية الأندلس الأهلية بأبها,أبها,Asser,Domestic,تعليم عام بنين,66.73
447,111895,ثانوية المدينة الأكاديمية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,66.55
453,11198,ثانوية دار السلام الأهلية,الرياض,Riyadh,Domestic,مقررات,66.47
